GEOID	UTB_RNA	GEOL_CLS	GEOL_VUL	GEOM_CLS	GEOM_VUL	SOLO_CLS	SOLO_VUL	VEGE_CLS	VEGE_VUL	VUL_MED
406	1,58820	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
407	1,59160	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
408	1,59500	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
409	1,59840	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
410	1,60180	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
411	1,60520	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
412	1,60860	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
413	1,61200	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
414	1,61540	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
415	1,61880	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
416	1,62220	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
417	1,62560	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	U-Urbano	0,00000	1,55000
418	1,62900	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
419	1,63240	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
420	1,63580	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,95000
421	1,63920	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
422	1,64260	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	Faapb-Aluv_Aber_Palm_Bambu	1,20000	2,55000
423	1,64600	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
424	1,64940	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
425	1,65280	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
426	1,65620	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
427	1,65960	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
428	1,66300	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
429	1,66640	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
430	1,66980	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
431	1,67320	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
432	1,67660		2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
433	1,68000	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
434	1,68340	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
435	1,68680	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
436	1,69020	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
437	1,69360	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
438	1,69700	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
439	1,70040	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
440	1,70380	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
441	1,70720		2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraN	2,10000	2,08000
442	1,71060	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	Q-Queimada	3,00000	2,30000
443	1,71400	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
444	1,71740		2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	C-CapoeiraV	1,40000	1,90000
445	1,72080		2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
446	1,72420	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,95000
447	1,72760		2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
448	1,73100		2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
449	1,73440		2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
450	1,73780	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	C-CapoeiraN	2,10000	2,78000
451	1,74120	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	C-CapoeiraN	2,10000	2,78000
452	1,74460	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,95000
453	1,74800	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,95000
454	1,75140	T-Form-Solimoes	2,60000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,85000
455	1,75480	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	C-CapoeiraN	2,10000	2,08000
456	1,75820	T-Form-Solimoes	2,60000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	C-CapoeiraV	1,40000	2,50000
457	1,76160		2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
458	1,76500	T-Form-Solimoes	2,60000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,85000
459	1,76840	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	Fapc-Aber_Palm_Cipo_Bambu	1,20000	1,85000
460	1,77180	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,95000
461	1,77520	T-Form-Solimoes	2,60000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,85000
462	1,77860	T-Form-Solimoes	2,60000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	C-CapoeiraV	0,00000	2,15000
463	1,78200	Q-Aluviao-Indif	3,00000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,95000
464	1,78540	T-Form-Solimoes	2,60000	C2-Planicie-fluvial	3,00000	Hge-Hidro_gley_eu	3,00000	AA-Ativid_Agropec	2,80000	2,85000
465	1,78880	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvae-Podz_ver_amar_eu	2,00000	AA-Ativid_Agropec	2,80000	2,25000
466	1,79220	T-Form-Solimoes	2,60000	B1-Colinosa_Crista_Tabula	1,60000	Pvaa-Podz_ver_amar_al	2,00000	AA-Ativid_Agropec	2,80000	2,25000
467	0,00000	x	0,00000	x	0,00000	x	0,00000	x	0,00000	0,00000
468	0,00000	x	0,00000	x	0,00000	x	0,00000	x	0,00000	0,00000
